id,title,condition,price,currency_id,available_quantity,sold_quantity,buying_mode,listing_type_id,stop_time,permalink,thumbnail,category_id,domain_id,Marca,Color,Condición del ítem,Modelo,Formato de venta,Unidades por pack,Unidades por envase,Color principal,Código universal de producto,Largo del paquete,Peso del paquete,Peso neto,Conservación del producto,Línea
MLA1190262537,Guantes De Nitrilo Color Azul X 50u Sin Polvo Reforzados,new,4701.55,ARS,50,,buy_it_now,gold_special,2042-10-06T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1190262537-guantes-de-nitrilo-color-azul-x-50u-sin-polvo-reforzados-_JM,http://http2.mlstatic.com/D_914876-MLA51903631136_102022-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Genérica,,Nuevo,,,,,,,,,,,
MLA1421742961,Guantes De Nitrilo Negros Caja X 100 Unidades,new,6184.5,ARS,1,,buy_it_now,gold_special,2044-04-10T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1421742961-guantes-de-nitrilo-negros-caja-x-100-unidades-_JM,http://http2.mlstatic.com/D_869045-MLA75781732435_042024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Guantes,,Nuevo,Guantes de Nitrilo,Unidad,1,,,,,,,,
MLA927534048,Guante Nitrilo Descartable X100 Grande,new,25484.22,ARS,100,,buy_it_now,gold_special,2041-06-24T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-927534048-guante-nitrilo-descartable-x100-grande-_JM,http://http2.mlstatic.com/D_783203-MLA73453759962_122023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Bil-Vex,,Nuevo,07-NTD-25,Pack,100,,,,,,,,
MLA1439030372,Guantes De Nitrilo Antideslizante Mediglove Black Soft ,new,8069.03,ARS,1,,buy_it_now,gold_special,2043-06-22T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1439030372-guantes-de-nitrilo-antideslizante-mediglove-black-soft-_JM,http://http2.mlstatic.com/D_626155-MLA70178792149_062023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Mediglove,,Nuevo,Soft,Unidad,1,100,,,,,,,
MLA1681740564,Caja Guantes Nitrilo Negro Reforzado Con Anmat X 100 Power,new,6289.0,ARS,500,,buy_it_now,gold_special,2044-02-20T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1681740564-caja-guantes-nitrilo-negro-reforzado-con-anmat-x-100-power-_JM,http://http2.mlstatic.com/D_663044-MLA72745333028_112023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Powercrest,,Nuevo,Nitrilo Negro,Unidad,1,100,,,,,,,
MLA1114540386,Guantes De Nitrilo Color Negro Reforzados Mediglove X 100 Un,new,9645.9,ARS,50000,,buy_it_now,gold_special,2044-05-20T20:35:03.000Z,https://articulo.mercadolibre.com.ar/MLA-1114540386-guantes-de-nitrilo-color-negro-reforzados-mediglove-x-100-un-_JM,http://http2.mlstatic.com/D_757855-MLA69119688980_042023-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Mediglove,,Nuevo,Reforzado,Unidad,1,,,,,,,,
MLA1744106538,Guantes De Nitrilo Azules Sin Polvo X 100 Unodades,new,6200.0,ARS,1,,buy_it_now,gold_special,2044-04-13T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1744106538-guantes-de-nitrilo-azules-sin-polvo-x-100-unodades-_JM,http://http2.mlstatic.com/D_832075-MLA75697125892_042024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Medicpro,,Nuevo,Nitrilo,Pack,100,,,,,,,,
MLA1729388522,Guante De Nitrilo Examen Sin Polvo Caja X 100u A Granel,new,6240.0,ARS,1,,buy_it_now,gold_special,2044-03-29T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1729388522-guante-de-nitrilo-examen-sin-polvo-caja-x-100u-a-granel-_JM,http://http2.mlstatic.com/D_975581-MLA75579368397_042024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Un solo uso,,Nuevo,Azul sin polvo,,,,,,,,,,
MLA1147563896,Guante De Nitrilo Negro Reforzado 100unidades Para Detailing,new,8990.0,ARS,50,,buy_it_now,gold_special,2042-07-15T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1147563896-guante-de-nitrilo-negro-reforzado-100unidades-para-detailing-_JM,http://http2.mlstatic.com/D_861668-MLA75321139791_032024-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Guantes,,Nuevo,Guantes de Nitrilo,Unidad,1,,,,,,,,
MLA1193318967,Guantes De Nitrilo Color Negro X 20u Sin Polvo Reforzados,new,2350.3,ARS,250,,buy_it_now,gold_special,2042-10-09T04:00:00.000Z,https://articulo.mercadolibre.com.ar/MLA-1193318967-guantes-de-nitrilo-color-negro-x-20u-sin-polvo-reforzados-_JM,http://http2.mlstatic.com/D_663744-MLA51948326647_102022-O.jpg,MLA409140,MLA-DISPOSABLE_GLOVES,Genérica,,Nuevo,,,,,,,,,,,
